Gene,Corrected P-value,Log2 Fold Change
HSPB1,9.4519e-12,1.4669
RASSF5,1.7395e-11,-1.0200
MT-ND4L,5.8146e-06,-0.6194
GPT2,1.3519e-14,2.3004
C1orf186,2.6191e-10,-2.5165
MBOAT4,4.0760e-07,-2.6053
ARMC4,2.0075e-08,-4.8920
RSAD2,3.1792e-07,-1.3814
ERRFI1,3.5695e-05,-0.9199
TMEM92,2.0644e-06,-1.3915
ITGA11,1.0764e-07,1.9485
SEC22C,9.7451e-16,-1.2950
KCNJ14,2.4189e-11,1.2580
ENHO,1.3621e-03,-1.2631
CD93,9.7451e-16,-3.0705
MROH9,2.9572e-09,-9.3692
ZNF623,8.0633e-12,0.9328
E2F3,3.7070e-12,1.1546
PLS1,1.1498e-04,-0.7390
KCTD5,1.6318e-09,0.5981
CDK15,2.6239e-12,-2.1055
TMEM190,5.7206e-09,-6.3286
RAB3C,2.3636e-09,-6.8611
MAGEL2,4.0491e-03,6.3003
TP53INP2,1.5519e-06,-0.8732
ENKD1,2.1140e-10,-1.0546
ARHGEF40,4.3162e-09,-0.8417
HIST1H3H,3.6815e-10,1.6411
FAM109A,7.0166e-11,-0.9125
KCNAB2,7.4734e-14,-1.7466
TMEM219,3.5099e-14,-0.8723
CCDC102B,1.7898e-13,-1.6178
GTF2A1L,1.6135e-04,8.3749
ZNF695,6.1960e-13,7.4858
C20orf96,2.9202e-06,-0.8796
TSHZ2,2.6975e-05,0.8867
FOLH1,8.4986e-06,1.2365
KIF20A,1.2239e-15,3.8307
ACSM1,1.1100e-10,-2.7781
SHISA9,6.4223e-04,5.2901
AGT,3.2363e-08,-1.3679
TNK2,5.2003e-07,0.6526
ZNF25,1.5073e-15,-1.1850
EFEMP2,2.7911e-10,-1.1529
FHDC1,1.8303e-07,-1.2914
LRRC27,1.7472e-13,-1.1562
ZNF608,4.3370e-15,-1.8764
ZNF717,1.6882e-06,-0.9695
TMEM194B,1.8635e-07,0.6141
CTIF,1.0125e-12,-1.1757
DNHD1,6.5827e-04,-0.5901
MTFR1L,1.5466e-12,-0.6832
APOC1,1.0374e-12,-2.3934
GUCY1A2,2.4800e-15,-2.5355
LGALS4,4.4479e-15,-3.2813
AIM1L,1.3344e-08,1.7979
CTD-2228K2.5,6.7109e-11,1.0863
C6orf141,7.4918e-06,1.3220
ITPRIP,1.4416e-09,-1.0963
CLRN3,3.1732e-05,-5.5059
RBFOX3,1.1450e-03,-4.3053
ADRA2B,7.1726e-05,1.4194
ABLIM2,1.2711e-03,-0.6593
GPR132,1.8074e-06,-1.0279
YKT6,3.9762e-12,0.7513
KCNS3,5.2189e-04,-0.6314
TMEM200C,5.2644e-05,1.4280
FGA,3.0774e-09,-5.7086
TMEM150C,2.1888e-04,-0.6377
RELN,2.0075e-08,-2.3967
MTX2,2.6379e-14,0.8734
KIAA0907,1.3558e-09,0.9220
TMEM144,7.3223e-11,-0.7952
FBXL13,4.3655e-06,-0.8190
PTTG1IP,1.0822e-11,-0.6314
C9orf43,1.4410e-05,0.8000
OVCH1-AS1,8.8701e-05,-6.4175
LYRM1,2.3703e-11,-0.7529
KLK12,3.6478e-02,2.2277
RCAN1,5.0047e-08,-1.2676
CISD2,1.0188e-07,0.6097
GCAT,1.1220e-09,1.1316
RSRC1,1.2891e-14,1.3424
SAMD9L,4.6727e-12,-1.8299
RPS19,9.8153e-08,0.6420
ZNF662,1.0356e-08,-1.7298
P2RX4,4.3708e-07,-0.6031
HOXA10,1.8342e-13,4.5812
GFI1,3.9611e-04,-0.7250
NKPD1,9.1320e-15,7.2841
ANGPT1,5.7463e-15,-3.3802
DSC3,6.0497e-14,6.3325
SERINC4,1.7100e-10,-1.2836
SNRNP25,4.1476e-08,0.7952
SPRN,5.7734e-07,0.7710
TBC1D7,6.9794e-14,1.0874
TSPAN8,2.1384e-12,-2.9091
BRIP1,9.8352e-16,3.3654
TMEM240,2.5251e-04,-0.8591
CFP,9.7451e-16,-3.6792
RGS19,1.0572e-07,-0.7391
PLAC8,2.7345e-10,-2.4782
SOAT2,2.5795e-05,-3.0630
PTPN18,1.6219e-08,-0.6094
NIT2,3.3583e-13,1.1046
DLX1,1.2259e-13,14.6417
EGLN2,3.3781e-12,-0.7487
CCND3,2.9305e-15,-1.7716
KIAA1524,1.0128e-15,2.7701
GDF10,1.7321e-15,-7.0278
C1orf61,2.5187e-06,5.8258
SIRT1,2.7688e-11,-0.7932
KCNJ1,2.1888e-04,-3.3896
TOMM70A,4.9949e-15,0.8643
LRAT,1.3170e-02,0.8896
VSIG2,9.7451e-16,-5.3324
IL2,1.1100e-10,-13.4303
RNPS1,1.7472e-13,0.6178
HDC,1.0383e-13,-2.7798
CA12,4.4941e-09,2.5351
C15orf54,1.7263e-02,-3.0366
SERINC1,9.7451e-16,-1.3604
MID1IP1,5.1157e-14,-1.5351
TCTA,9.7451e-16,-1.2863
JAKMIP2,8.6970e-03,-0.5900
MYL6B,1.0150e-08,0.7216
PLIN5,7.5502e-15,-2.9929
RBP4,1.5879e-13,-4.4795
TRMT1,3.0439e-10,0.6039
STAC3,1.9224e-13,-1.7082
N6AMT2,3.4602e-11,-0.9170
IGSF3,2.1594e-10,1.1995
HN1L,1.1208e-14,1.1575
TRPC4,6.8802e-05,-0.8589
CLDN2,1.1379e-07,-2.3394
KPNA1,4.5567e-14,0.9034
EPOR,9.4547e-14,-1.5522
PTBP3,2.2237e-09,0.5958
MRPS30,1.8225e-14,1.0086
RRAS,2.5892e-15,-1.7969
PODXL2,2.3643e-13,2.1513
ZNF519,5.2918e-06,0.7816
SKA3,1.1489e-15,3.7910
EGFL7,2.8210e-15,-2.3276
KLHDC9,2.9110e-04,-1.1144
HLA-DRB1,3.2787e-13,-2.5558
UCHL5,2.8338e-14,0.7897
FERMT2,9.7451e-16,-2.2088
CACNA1F,4.5086e-06,-1.5765
SLC6A4,4.7750e-15,-7.5475
CCDC96,2.7258e-09,-1.4974
BTLA,2.8623e-05,-1.7409
HAS2,7.6726e-03,-0.9571
NUDT21,7.6517e-11,0.7718
XBP1,4.4725e-08,-0.7640
TMEM232,1.6180e-12,-3.2770
NEB,1.2683e-06,1.4394
RNF130,1.5143e-13,-1.0903
C11orf21,3.4192e-15,-3.1273
C6orf165,1.6539e-08,-5.4929
IMPACT,6.4015e-08,0.5944
CADM3,1.5018e-10,-3.0353
EPB42,9.7451e-16,-2.6892
LACTB,2.4781e-08,-0.6669
GSAP,1.0723e-14,-1.7531
HAPLN4,3.4904e-03,1.9728
RNF122,3.2411e-10,-1.3057
PLSCR4,3.4192e-15,-1.9954
MESP1,3.1565e-02,0.6904
TTC27,4.5046e-11,0.5888
PYGO1,3.2612e-02,-0.5942
SLC14A1,4.3723e-13,-3.8243
NCAPG2,9.7451e-16,2.1183
CCDC34,9.7451e-16,2.2572
TTN,2.9947e-13,-2.2111
HCK,9.6606e-12,-1.5847
ARMCX3,1.6656e-09,-0.6074
RIN1,5.6389e-06,0.7543
NETO2,9.2864e-08,1.2319
PRPF40B,7.6517e-11,0.8081
AMY1C,3.6815e-10,-7.0432
UBR1,3.0827e-12,-0.7194
hsa-mir-1199,4.3554e-10,-1.4237
CBX3,1.9516e-14,0.9183
KRT6C,1.2810e-12,12.2212
SCUBE3,1.5319e-05,1.4390
KAT2A,1.3791e-13,1.2413
TFAP2C,5.1178e-12,1.7946
FHIT,1.8611e-11,-1.1940
CENPL,2.5892e-15,1.8512
PVALB,2.6015e-06,-2.6839
FAM198B,7.1726e-05,-0.9251
TSPAN5,2.3614e-05,0.7087
NOVA2,9.7451e-16,-3.0067
VGLL1,1.6952e-02,-0.8943
FYCO1,1.1127e-15,-1.4799
SLC14A2,2.6210e-07,-2.3706
PCDHGB3,2.0388e-07,-2.0733
FOSB,8.0633e-12,-4.5956
SHROOM3,4.2460e-15,-2.3257
RAE1,1.1489e-15,1.2016
GNPTG,2.3643e-13,-0.6651
HDX,2.5599e-06,-0.9817
RSPO2,1.3021e-15,-7.4263
C15orf53,3.2869e-02,-3.9253
MEGF6,9.5672e-09,-1.2010
QSOX2,2.3923e-12,0.7994
ECT2L,1.5000e-08,-3.3195
MED12L,1.5786e-02,0.7257
AMT,3.9086e-09,-1.3516
LYG1,2.8180e-03,0.7454
ZNF382,2.3964e-05,-1.0212
DPH2,2.8338e-14,0.9491
CCR8,1.8538e-02,1.2357
DMXL1,7.1400e-13,-0.7655
NPNT,3.9821e-15,-2.4788
WDR88,1.7256e-04,1.9296
CRIM1,5.3526e-12,-1.2297
SERPINB4,4.2661e-10,9.0612
VBP1,9.1972e-09,0.6254
GDPD5,4.6783e-09,-1.2047
FERMT3,2.7843e-13,-1.8624
RPA3,6.8597e-11,0.7710
DOK6,4.4998e-05,-1.1382
CRYZ,2.3182e-09,-0.8916
SPG20,5.5094e-13,-0.9918
MRPS12,2.2452e-15,1.2998
TRA2B,4.5461e-10,0.6064
MRE11A,7.1653e-11,0.8580
WWC3,1.6390e-15,-1.4630
ALDH1L2,2.6580e-05,0.8912
YWHAG,2.3643e-13,0.8344
GADD45B,3.0345e-14,-2.7641
TMEM14A,7.1400e-13,1.2349
WT1,6.4861e-03,3.2842
FLG,2.8846e-02,-0.8635
RP11-514P8.7,4.4043e-09,-3.6992
RNASEK,4.2545e-12,-0.7769
BDNF,9.9986e-08,-2.3140
CSDC2,8.1647e-11,-1.9049
C4B,1.7358e-12,-2.2599
DOLPP1,1.1875e-11,0.8487
BAI2,3.9159e-08,1.6717
ACO1,9.0183e-09,-0.7196
B3GNT4,2.5341e-13,1.9058
RAB41,8.3843e-10,-2.9221
KCNT1,2.0759e-07,-4.6941
DNAJA3,9.8895e-10,0.5974
RGPD5,1.4504e-06,-0.7435
NLRP6,4.4454e-03,-0.7298
ARSF,2.1888e-04,-5.4026
CYP2U1,1.3832e-14,-1.5635
GPR1,1.3365e-04,1.0559
KDM4D,4.2999e-06,0.7236
GPR37L1,4.7816e-04,0.8944
P2RX7,4.8917e-12,-1.7761
ATP1A2,2.8738e-15,-4.7951
ASAH1,1.0695e-15,-2.0064
GPR17,9.7757e-16,-5.1759
CTHRC1,2.6547e-13,3.2250
ICAM2,1.1253e-15,-2.8096
HLA-G,1.2151e-04,-1.3126
TJP2,6.0124e-12,-0.9659
VEGFC,9.6306e-06,-1.0275
BEX4,7.9767e-06,-0.9551
GNG11,9.7451e-16,-3.3370
ZSCAN1,1.3170e-02,-5.8139
CPSF4,1.7416e-14,0.8968
ADH6,5.9228e-03,-1.9343
NCR3,3.7803e-11,-2.7448
DCC,1.3446e-07,-3.4727
C10orf35,2.7621e-07,0.6973
C15orf56,8.8686e-03,-1.2683
RP11-295P9.3,6.2423e-05,-0.6487
EIF4G1,3.8959e-15,1.0388
GPBAR1,1.6390e-15,-3.1375
CBR3,2.0934e-09,1.3956
PDCD5,3.1124e-14,1.0796
FAM221A,9.9253e-04,-0.6758
HOXA2,1.5984e-09,-1.3496
RP11-196G11.1,5.5754e-05,0.7526
MCF2,1.1253e-02,1.8230
FAM182B,4.9245e-03,-0.6642
SEC61A2,2.3028e-10,0.9407
MS4A3,5.2962e-08,-11.2651
ZSWIM5,6.2944e-06,-1.0502
HPSE2,3.4602e-11,-5.4423
HSD17B2,1.9447e-04,-1.6126
MAT1A,1.7106e-02,0.7523
TMEM184A,1.8594e-08,1.7008
UBAP1L,3.8379e-05,-0.7496
ZNF487,2.4189e-13,-1.1252
PROM2,5.2583e-13,2.5013
CLEC4E,4.9181e-13,-2.4778
LTC4S,2.8738e-15,-2.7477
BTN2A1,3.9702e-13,-0.8393
PIP,6.4982e-06,-7.2937
C16orf98,1.5783e-05,1.4908
DARS2,1.5158e-14,1.2369
ERAL1,4.2545e-12,0.7007
FCHO2,9.7757e-16,-1.5266
LENEP,3.6751e-05,8.9615
IDNK,2.4569e-14,-1.4255
RNASEK-C17orf49,4.6532e-06,-0.6335
RBM24,2.1610e-05,-1.4320
HCST,1.2849e-13,-2.1532
CLCN4,4.7058e-11,-1.8406
NKAIN1,4.3370e-15,9.6398
POLDIP2,2.0605e-13,0.6614
PDLIM1,1.5839e-07,-0.8032
PPAPDC1A,1.3220e-15,3.9365
ANAPC7,6.1454e-11,0.7389
DNALI1,1.1670e-13,-3.0920
DPH6,8.3843e-10,0.7432
YWHAZ,2.7062e-15,1.0857
FAT4,1.8225e-14,-2.5039
LMX1B,5.0261e-07,2.2086
ROR1,9.7451e-16,-3.3942
TUBB1,1.8598e-15,-4.7845
C1orf167,9.7757e-16,-4.6613
GRM4,3.6974e-11,7.0998
TCTE1,1.5021e-09,-5.7745
ITGB4,4.7759e-14,2.6514
KCMF1,2.2349e-14,0.9191
IPO9,1.9038e-11,0.6508
LYPD1,6.6612e-10,2.1067
LIMK1,2.3544e-07,0.6358
IL13RA2,2.5252e-02,-0.7331
AC016722.1,6.4208e-05,-7.1887
FLNA,1.4107e-04,-0.6225
RNF126,1.9943e-12,0.6482
PLAGL1,6.6525e-14,-1.2457
ADORA2A,7.1400e-13,-1.7635
NDUFAF3,4.6727e-12,-0.6838
BHLHE22,2.3054e-04,-0.8357
OTUB2,5.1178e-12,1.2207
LRP8,2.2057e-10,1.5483
MLLT4,2.5319e-11,-1.0570
XAGE1E,8.6214e-05,-9.3027
MYO7B,6.4484e-15,-3.2626
RP11-182J1.16,4.3548e-03,1.6715
TTBK1,3.9685e-06,0.6566
CELF2,9.7451e-16,-2.7457
RASIP1,1.3791e-13,-2.4115
WDR53,9.8352e-16,1.3307
