Gene,Corrected P-value,Log2 Fold Change
HSPB1,9.2357e-12,1.4669
RASSF5,5.9463e-10,-1.0200
MT-ND4L,3.8899e-05,-0.6194
GPT2,9.5775e-13,2.3004
C1orf186,1.4284e-06,-2.5165
MBOAT4,3.5059e-07,-2.6053
ARMC4,4.0130e-07,-4.8920
RSAD2,1.6130e-06,-1.3814
ERRFI1,3.3808e-04,-0.9199
TMEM92,3.8899e-05,-1.3915
ITGA11,1.4501e-07,1.9485
SEC22C,3.0936e-14,-1.2950
KCNJ14,1.0198e-10,1.2580
CD93,3.0936e-14,-3.0705
MROH9,2.0213e-07,-9.3692
ZNF623,3.5104e-12,0.9328
E2F3,7.9695e-12,1.1546
PLS1,3.6219e-03,-0.7390
KCTD5,3.6826e-08,0.5981
CDK15,9.5775e-13,-2.1055
TMEM190,1.1414e-06,-6.3286
RAB3C,5.8245e-09,-6.8611
MAGEL2,7.3589e-03,6.3003
TP53INP2,2.1762e-06,-0.8732
ENKD1,2.0335e-10,-1.0546
ARHGEF40,5.3388e-09,-0.8417
HIST1H3H,2.3930e-09,1.6411
FAM109A,1.4416e-11,-0.9125
KCNAB2,3.1763e-13,-1.7466
TMEM219,4.1828e-12,-0.8723
CCDC102B,7.8227e-13,-1.6178
GTF2A1L,1.3211e-05,8.3749
ZNF695,9.5775e-13,7.4858
C20orf96,1.0765e-04,-0.8796
TSHZ2,1.0438e-05,0.8867
FOLH1,2.3075e-06,1.2365
KIF20A,4.2014e-14,3.8307
ACSM1,9.0527e-11,-2.7781
SHISA9,1.0029e-03,5.2901
AGT,6.7845e-06,-1.3679
TNK2,4.7753e-08,0.6526
ZNF25,4.2014e-14,-1.1850
EFEMP2,4.8140e-10,-1.1529
FHDC1,6.4611e-08,-1.2914
LRRC27,4.0519e-13,-1.1562
ZNF608,3.0936e-14,-1.8764
ZNF717,1.9326e-06,-0.9695
TMEM194B,1.6013e-06,0.6141
CTIF,2.2702e-10,-1.1757
DNHD1,6.3389e-04,-0.5901
MTFR1L,9.2357e-12,-0.6832
APOC1,5.9463e-10,-2.3934
GUCY1A2,3.0936e-14,-2.5355
LGALS4,3.0936e-14,-3.2813
AIM1L,2.0313e-08,1.7979
CTD-2228K2.5,1.8185e-08,1.0863
C6orf141,1.6130e-06,1.3220
ITPRIP,4.5242e-09,-1.0963
CLRN3,1.6801e-04,-5.5059
RBFOX3,1.3644e-02,-4.3053
ADRA2B,1.2241e-05,1.4194
GPR132,1.2241e-05,-1.0279
YKT6,9.2357e-12,0.7513
KCNS3,1.2737e-03,-0.6314
TMEM200C,1.2904e-05,1.4280
FGA,5.5547e-08,-5.7086
TMEM150C,2.0742e-02,-0.6377
RELN,9.4137e-05,-2.3967
MTX2,2.5219e-13,0.8734
KIAA0907,6.2672e-11,0.9220
TMEM144,1.6300e-09,-0.7952
FBXL13,6.8526e-05,-0.8190
PTTG1IP,2.0335e-10,-0.6314
C9orf43,8.4812e-06,0.8000
OVCH1-AS1,8.2989e-07,-6.4175
LYRM1,1.7293e-08,-0.7529
KLK12,1.1856e-03,2.2277
RCAN1,7.6561e-07,-1.2676
CISD2,3.4468e-09,0.6097
GCAT,6.9234e-09,1.1316
RSRC1,3.8196e-09,1.3424
SAMD9L,2.4798e-12,-1.8299
RPS19,2.0332e-07,0.6420
ZNF662,3.8067e-08,-1.7298
P2RX4,1.3795e-05,-0.6031
HOXA10,1.4748e-13,4.5812
GFI1,9.4596e-03,-0.7250
NKPD1,1.1014e-13,7.2841
ANGPT1,1.7262e-12,-3.3802
DSC3,8.3894e-14,6.3325
SERINC4,4.3060e-11,-1.2836
SNRNP25,1.3107e-07,0.7952
SPRN,1.0056e-07,0.7710
TBC1D7,1.3784e-08,1.0874
TSPAN8,7.5027e-08,-2.9091
BRIP1,4.2014e-14,3.3654
TMEM240,3.5092e-03,-0.8591
CFP,3.0936e-14,-3.6792
RGS19,1.2464e-08,-0.7391
PLAC8,1.2426e-07,-2.4782
SOAT2,7.5566e-04,-3.0630
PTPN18,1.0506e-06,-0.6094
NIT2,1.7262e-12,1.1046
DLX1,4.8002e-09,14.6417
EGLN2,2.1920e-07,-0.7487
CCND3,8.3894e-14,-1.7716
KIAA1524,4.2014e-14,2.7701
GDF10,3.0936e-14,-7.0278
C1orf61,9.3517e-08,5.8258
SIRT1,8.6590e-08,-0.7932
KCNJ1,1.1437e-03,-3.3896
TOMM70A,3.0936e-14,0.8643
LRAT,7.8623e-05,0.8896
TMEM114,2.6895e-02,1.2235
VSIG2,3.0936e-14,-5.3324
IL2,1.0655e-07,-13.4303
RNPS1,1.7262e-12,0.6178
HDC,4.2014e-14,-2.7798
CA12,5.3500e-10,2.5351
C15orf54,1.4948e-02,-3.0366
SERINC1,3.0936e-14,-1.3604
MID1IP1,3.0936e-14,-1.5351
TCTA,3.0936e-14,-1.2863
MYL6B,6.6050e-10,0.7216
PLIN5,3.0936e-14,-2.9929
